Time,Rainfall ,Soil moisture ,Ambient temp ,Depth ,,,,
5/1/2013 19:00,0,0.5838,26.2,30,,,,
5/1/2013 20:00,0,0.5837,26.2,30,,,,
5/1/2013 21:00,0,0.5834,26.1,30,,,,
5/1/2013 22:00,0,0.5834,26.1,30,,,,
5/1/2013 23:00,0,0.5836,26,30,,,,
5/2/2013 0:00,0,0.5837,25.8,30,,,,
5/2/2013 1:00,0,0.5834,25.5,30,,,,
5/2/2013 2:00,0,0.583,25.4,30,,,,
5/2/2013 3:00,0,0.583,25.3,30,,,,
5/2/2013 4:00,0,0.5831,25.2,30,,,,
5/2/2013 5:00,0,0.5833,25,30,,,,
5/2/2013 6:00,0,0.5833,25,30,,,,
5/2/2013 7:00,0,0.5832,24.9,30,,,,
5/2/2013 8:00,0,0.5831,24.7,30,,,,
5/2/2013 9:00,0,0.5829,24.7,30,,,,
5/2/2013 10:00,0,0.5827,24.7,30,,,,
5/2/2013 11:00,0,0.5824,24.6,30,,,,
5/2/2013 12:00,0,0.582,24.6,30,,,,
5/2/2013 13:00,0,0.5816,24.7,30,,,,
5/2/2013 14:00,0,0.5813,24.7,30,,,,
5/2/2013 15:00,0,0.581,24.8,30,,,,
5/2/2013 16:00,0,0.5823,24.9,30,,,,
5/2/2013 17:00,0,0.583,24.9,30,,,,
5/2/2013 18:00,0,0.583,24.9,30,,,,
5/2/2013 19:00,0,0.5828,24.9,30,,,,
5/2/2013 20:00,0,0.5825,24.7,30,,,,
5/2/2013 21:00,0,0.5822,24.7,30,,,,
5/2/2013 22:00,0,0.5823,24.7,30,,,,
5/2/2013 23:00,0,0.5826,24.6,30,,,,
5/3/2013 0:00,0,0.5828,24.5,30,,,,
5/3/2013 1:00,0,0.5825,24.5,30,,,,
5/3/2013 2:00,0,0.5824,24.4,30,,,,
5/3/2013 3:00,0,0.5823,24.4,30,,,,
5/3/2013 4:00,0,0.5825,24.3,30,,,,
5/3/2013 5:00,0,0.5825,24.2,30,,,,
5/3/2013 6:00,0,0.5826,24.2,30,,,,
5/3/2013 7:00,0,0.5825,24.1,30,,,,
5/3/2013 8:00,0,0.5825,24.1,30,,,,
5/3/2013 9:00,0,0.5824,24,30,,,,
5/3/2013 10:00,0,0.5821,24,30,,,,
5/3/2013 11:00,0,0.5819,24,30,,,,
5/3/2013 12:00,0,0.5816,24.2,30,,,,
5/3/2013 13:00,0,0.5812,24.3,30,,,,
5/3/2013 14:00,0,0.5809,24.5,30,,,,
5/3/2013 15:00,0,0.5806,24.5,30,,,,
5/3/2013 16:00,0,0.5819,24.7,30,,,,
5/3/2013 17:00,0,0.5827,24.7,30,,,,
5/3/2013 18:00,0,0.5827,24.7,30,,,,
5/3/2013 19:00,0,0.5825,24.7,30,,,,
5/3/2013 20:00,0,0.5823,24.7,30,,,,
5/3/2013 21:00,0,0.5821,24.7,30,,,,
5/3/2013 22:00,0,0.5821,24.5,30,,,,
5/3/2013 23:00,0,0.5824,24.5,30,,,,
5/4/2013 0:00,0,0.5825,24.4,30,,,,
5/4/2013 1:00,0,0.5823,24.4,30,,,,
5/4/2013 2:00,0,0.5821,24.2,30,,,,
5/4/2013 3:00,0,0.5822,24.2,30,,,,
5/4/2013 4:00,0,0.5824,24.1,30,,,,
5/4/2013 5:00,0,0.5824,24,30,,,,
5/4/2013 6:00,0,0.5825,23.9,30,,,,
5/4/2013 7:00,0,0.5824,23.9,30,,,,
5/4/2013 8:00,0,0.5823,23.7,30,,,,
5/4/2013 9:00,0,0.5821,23.7,30,,,,
5/4/2013 10:00,0,0.5819,23.8,30,,,,
5/4/2013 11:00,0,0.5816,23.8,30,,,,
5/4/2013 12:00,0,0.5813,23.9,30,,,,
5/4/2013 13:00,0,0.5809,24,30,,,,
5/4/2013 14:00,0,0.5806,24.2,30,,,,
5/4/2013 15:00,0,0.5803,24.3,30,,,,
5/4/2013 16:00,0,0.5816,24.4,30,,,,
5/4/2013 17:00,0,0.5824,24.5,30,,,,
5/4/2013 18:00,0,0.5824,24.5,30,,,,
5/4/2013 19:00,0,0.5821,24.5,30,,,,
5/4/2013 20:00,0,0.5818,24.5,30,,,,
5/4/2013 21:00,0,0.5817,24.4,30,,,,
5/4/2013 22:00,0,0.5817,24.4,30,,,,
5/4/2013 23:00,0,0.582,24.3,30,,,,
5/5/2013 0:00,0,0.5821,24.2,30,,,,
5/5/2013 1:00,0,0.582,24.1,30,,,,
5/5/2013 2:00,0,0.5818,24,30,,,,
5/5/2013 3:00,0,0.582,24,30,,,,
5/5/2013 4:00,0,0.5828,23.9,30,,,,
5/5/2013 5:00,0,0.583,23.8,30,,,,
5/5/2013 6:00,0,0.583,23.7,30,,,,
5/5/2013 7:00,0,0.5831,23.6,30,,,,
5/5/2013 8:00,0,0.5831,23.6,30,,,,
5/5/2013 9:00,0,0.583,23.5,30,,,,
5/5/2013 10:00,0,0.5828,23.5,30,,,,
5/5/2013 11:00,0,0.5828,23.6,30,,,,
5/5/2013 12:00,0,0.5827,23.7,30,,,,
5/5/2013 13:00,0,0.5825,23.8,30,,,,
5/5/2013 14:00,0,0.5825,23.9,30,,,,
5/5/2013 15:00,0,0.5822,24.1,30,,,,
5/5/2013 16:00,0,0.5821,24.2,30,,,,
5/5/2013 17:00,0,0.582,24.3,30,,,,
5/5/2013 18:00,0,0.5821,24.4,30,,,,
5/5/2013 19:00,0,0.5825,24.4,30,,,,
5/5/2013 20:00,0,0.5826,24.4,30,,,,
5/5/2013 21:00,0,0.5827,24.4,30,,,,
5/5/2013 22:00,0,0.5826,24.3,30,,,,
5/5/2013 23:00,0,0.5828,24.2,30,,,,
5/6/2013 0:00,0,0.5825,24.2,30,,,,
5/6/2013 1:00,0,0.5821,24,30,,,,
5/6/2013 2:00,0,0.5821,24,30,,,,
5/6/2013 3:00,0,0.5816,23.9,30,,,,
5/6/2013 4:00,0,0.5816,23.9,30,,,,
5/6/2013 5:00,0,0.5815,23.8,30,,,,
5/6/2013 6:00,0,0.5813,23.7,30,,,,
5/6/2013 7:00,0,0.5812,23.6,30,,,,
5/6/2013 8:00,0,0.5812,23.5,30,,,,
5/6/2013 9:00,0,0.5811,23.5,30,,,,
5/6/2013 10:00,0,0.5808,23.5,30,,,,
5/6/2013 11:00,0,0.5806,23.6,30,,,,
5/6/2013 12:00,0,0.5803,23.8,30,,,,
5/6/2013 13:00,0,0.58,24,30,,,,
5/6/2013 14:00,0,0.5797,24.2,30,,,,
5/6/2013 15:00,0,0.5794,24.2,30,,,,
5/6/2013 16:00,0,0.5802,24.4,30,,,,
5/6/2013 17:00,0,0.5809,24.4,30,,,,
5/6/2013 18:00,0,0.5806,24.5,30,,,,
5/6/2013 19:00,0,0.5805,24.5,30,,,,
5/6/2013 20:00,0,0.5804,24.5,30,,,,
5/6/2013 21:00,0,0.5803,24.5,30,,,,
5/6/2013 22:00,0,0.5803,24.4,30,,,,
5/6/2013 23:00,0,0.5803,24.4,30,,,,
5/7/2013 0:00,0,0.5803,24.4,30,,,,
5/7/2013 1:00,0,0.5799,24.2,30,,,,
5/7/2013 2:00,0,0.5799,24.1,30,,,,
5/7/2013 3:00,0,0.5803,24,30,,,,
5/7/2013 4:00,0,0.5807,23.9,30,,,,
5/7/2013 5:00,0,0.581,23.9,30,,,,
5/7/2013 6:00,0,0.5812,23.7,30,,,,
5/7/2013 7:00,0,0.5812,23.6,30,,,,
5/7/2013 8:00,0,0.5812,23.5,30,,,,
5/7/2013 9:00,0,0.5812,23.5,30,,,,
5/7/2013 10:00,0,0.5811,23.5,30,,,,
5/7/2013 11:00,0,0.581,23.7,30,,,,
5/7/2013 12:00,0,0.5808,23.9,30,,,,
5/7/2013 13:00,0,0.5808,23.9,30,,,,
5/7/2013 14:00,0,0.5806,24.2,30,,,,
5/7/2013 15:00,0,0.5804,24.3,30,,,,
5/7/2013 16:00,0,0.5807,24.4,30,,,,
5/7/2013 17:00,0,0.5808,24.5,30,,,,
5/7/2013 18:00,0,0.5809,24.5,30,,,,
5/7/2013 19:00,0,0.5808,24.5,30,,,,
5/7/2013 20:00,0,0.5811,24.5,30,,,,
5/7/2013 21:00,0,0.581,24.5,30,,,,
5/7/2013 22:00,0,0.5812,24.5,30,,,,
5/7/2013 23:00,0,0.5811,24.5,30,,,,
5/8/2013 0:00,0,0.5811,24.4,30,,,,
5/8/2013 1:00,0,0.5808,24.4,30,,,,
5/8/2013 2:00,0,0.5806,24.4,30,,,,
5/8/2013 3:00,0,0.5808,24.2,30,,,,
5/8/2013 4:00,0,0.5807,24.2,30,,,,
5/8/2013 5:00,0,0.5805,24.2,30,,,,
5/8/2013 6:00,0,0.5802,24.1,30,,,,
5/8/2013 7:00,0,0.58,24,30,,,,
5/8/2013 8:00,0,0.5799,23.9,30,,,,
5/8/2013 9:00,0,0.5798,23.9,30,,,,
5/8/2013 10:00,0,0.5795,23.9,30,,,,
5/8/2013 11:00,0,0.5792,24,30,,,,
5/8/2013 12:00,0,0.5789,24.2,30,,,,
5/8/2013 13:00,0,0.5785,24.4,30,,,,
5/8/2013 14:00,0,0.5781,24.7,30,,,,
5/8/2013 15:00,0,0.5777,24.9,30,,,,
5/8/2013 16:00,0,0.5788,25,30,,,,
5/8/2013 17:00,0,0.5798,25.2,30,,,,
5/8/2013 18:00,0,0.58,25.2,30,,,,
5/8/2013 19:00,0,0.5798,25.2,30,,,,
5/8/2013 20:00,0,0.5795,25.2,30,,,,
5/8/2013 21:00,0,0.5794,25.2,30,,,,
5/8/2013 22:00,0,0.5793,25.1,30,,,,
5/8/2013 23:00,0,0.5794,25,30,,,,
5/9/2013 0:00,0,0.5795,25,30,,,,
5/9/2013 1:00,0,0.5792,24.9,30,,,,
5/9/2013 2:00,0,0.5787,24.8,30,,,,
5/9/2013 3:00,0,0.5788,24.7,30,,,,
5/9/2013 4:00,0,0.5789,24.7,30,,,,
5/9/2013 5:00,0,0.579,24.6,30,,,,
5/9/2013 6:00,0.2,0.5789,24.5,30,,,,
5/9/2013 7:00,0.2,0.5789,24.4,30,,,,
5/9/2013 8:00,0,0.5787,24.4,30,,,,
5/9/2013 9:00,0,0.5786,24.3,30,,,,
5/9/2013 10:00,0,0.5782,24.3,30,,,,
5/9/2013 11:00,0,0.5779,24.4,30,,,,
5/9/2013 12:00,0,0.5776,24.5,30,,,,
5/9/2013 13:00,0,0.5772,24.7,30,,,,
5/9/2013 14:00,0,0.5769,24.7,30,,,,
5/9/2013 15:00,0,0.5765,24.8,30,,,,
5/9/2013 16:00,0,0.5777,24.8,30,,,,
5/9/2013 17:00,0,0.5787,24.8,30,,,,
5/9/2013 18:00,0,0.5789,24.7,30,,,,
5/9/2013 19:00,0,0.5786,24.7,30,,,,
5/9/2013 20:00,0,0.5784,24.7,30,,,,
5/9/2013 21:00,0,0.5781,24.5,30,,,,
5/9/2013 22:00,0,0.578,24.5,30,,,,
5/9/2013 23:00,0,0.5783,24.4,30,,,,
5/10/2013 0:00,0,0.5782,24.3,30,,,,
5/10/2013 1:00,0,0.5782,24.2,30,,,,
5/10/2013 2:00,0,0.578,24.2,30,,,,
5/10/2013 3:00,0,0.5781,24.1,30,,,,
5/10/2013 4:00,0,0.5782,24,30,,,,
5/10/2013 5:00,0,0.5784,23.9,30,,,,
5/10/2013 6:00,0,0.5784,23.9,30,,,,
5/10/2013 7:00,0,0.5784,23.8,30,,,,
5/10/2013 8:00,0,0.5782,23.7,30,,,,
5/10/2013 9:00,0,0.5782,23.7,30,,,,
5/10/2013 10:00,0,0.5781,23.6,30,,,,
5/10/2013 11:00,0,0.5776,23.6,30,,,,
5/10/2013 12:00,0,0.5772,23.7,30,,,,
5/10/2013 13:00,0,0.5769,23.8,30,,,,
5/10/2013 14:00,0,0.5765,23.8,30,,,,
5/10/2013 15:00,0,0.5763,23.9,30,,,,
5/10/2013 16:00,0,0.5775,23.9,30,,,,
5/10/2013 17:00,0,0.5783,23.9,30,,,,
5/10/2013 18:00,0,0.5783,23.9,30,,,,
5/10/2013 19:00,0,0.5781,23.9,30,,,,
5/10/2013 20:00,0,0.5778,23.8,30,,,,
5/10/2013 21:00,0,0.5777,23.7,30,,,,
5/10/2013 22:00,0,0.5777,23.6,30,,,,
5/10/2013 23:00,0,0.5779,23.5,30,,,,
5/11/2013 0:00,0,0.5778,23.4,30,,,,
5/11/2013 1:00,0,0.5777,23.4,30,,,,
5/11/2013 2:00,0,0.5774,23.2,30,,,,
5/11/2013 3:00,0,0.5774,23.1,30,,,,
5/11/2013 4:00,0,0.5777,23,30,,,,
5/11/2013 5:00,0,0.5778,22.9,30,,,,
5/11/2013 6:00,0,0.5777,22.7,30,,,,
5/11/2013 7:00,0,0.5777,22.6,30,,,,
5/11/2013 8:00,0,0.5775,22.5,30,,,,
5/11/2013 9:00,0,0.5773,22.5,30,,,,
5/11/2013 10:00,0,0.5773,22.4,30,,,,
5/11/2013 11:00,0,0.5769,22.3,30,,,,
5/11/2013 12:00,0,0.5765,22.3,30,,,,
5/11/2013 13:00,0,0.5762,22.4,30,,,,
5/11/2013 14:00,0,0.5758,22.4,30,,,,
5/11/2013 15:00,0,0.5755,22.5,30,,,,
5/11/2013 16:00,0,0.5766,22.6,30,,,,
5/11/2013 17:00,0,0.5777,22.7,30,,,,
5/11/2013 18:00,0,0.5777,22.7,30,,,,
5/11/2013 19:00,0,0.5775,22.7,30,,,,
5/11/2013 20:00,0,0.5773,22.7,30,,,,
5/11/2013 21:00,0,0.5771,22.7,30,,,,
5/11/2013 22:00,0,0.577,22.7,30,,,,
5/11/2013 23:00,0,0.5773,22.6,30,,,,
5/12/2013 0:00,0,0.5773,22.5,30,,,,
5/12/2013 1:00,0,0.5773,22.5,30,,,,
5/12/2013 2:00,0,0.5771,22.4,30,,,,
5/12/2013 3:00,0,0.5772,22.3,30,,,,
5/12/2013 4:00,0,0.5775,22.2,30,,,,
5/12/2013 5:00,0,0.5776,22,30,,,,
5/12/2013 6:00,0,0.5777,22,30,,,,
5/12/2013 7:00,0,0.5777,21.9,30,,,,
5/12/2013 8:00,0,0.5777,21.7,30,,,,
5/12/2013 9:00,0,0.5777,21.7,30,,,,
5/12/2013 10:00,0,0.5775,21.7,30,,,,
5/12/2013 11:00,0,0.5774,21.9,30,,,,
5/12/2013 12:00,0,0.5776,22,30,,,,
5/12/2013 13:00,0,0.5772,22.2,30,,,,
5/12/2013 14:00,0,0.577,22.5,30,,,,
5/12/2013 15:00,0,0.5769,22.7,30,,,,
5/12/2013 16:00,0,0.5766,22.8,30,,,,
5/12/2013 17:00,0,0.5765,22.9,30,,,,
5/12/2013 18:00,0,0.5768,23,30,,,,
5/12/2013 19:00,0,0.5768,23,30,,,,
5/12/2013 20:00,0,0.5768,23,30,,,,
5/12/2013 21:00,0,0.5767,23,30,,,,
5/12/2013 22:00,0,0.5769,23,30,,,,
5/12/2013 23:00,0,0.577,22.9,30,,,,
5/13/2013 0:00,0,0.5772,22.9,30,,,,
5/13/2013 1:00,0,0.5767,22.7,30,,,,
5/13/2013 2:00,0,0.5763,22.6,30,,,,
5/13/2013 3:00,0,0.576,22.5,30,,,,
5/13/2013 4:00,0,0.5761,22.4,30,,,,
5/13/2013 5:00,0,0.576,22.3,30,,,,
5/13/2013 6:00,0,0.5763,22.2,30,,,,
5/13/2013 7:00,0,0.5765,22.1,30,,,,
5/13/2013 8:00,0,0.5765,22,30,,,,
5/13/2013 9:00,0,0.5764,21.9,30,,,,
5/13/2013 10:00,0,0.5763,21.9,30,,,,
5/13/2013 11:00,0,0.5756,22,30,,,,
5/13/2013 12:00,0,0.5752,22.2,30,,,,
5/13/2013 13:00,0,0.5747,22.5,30,,,,
5/13/2013 14:00,0,0.5746,22.7,30,,,,
5/13/2013 15:00,0,0.5743,22.9,30,,,,
5/13/2013 16:00,0,0.5756,23.1,30,,,,
5/13/2013 17:00,0,0.5767,23.2,30,,,,
5/13/2013 18:00,0,0.5769,23.4,30,,,,
5/13/2013 19:00,0,0.5767,23.4,30,,,,
5/13/2013 20:00,0,0.5765,23.4,30,,,,
5/13/2013 21:00,0,0.5765,23.3,30,,,,
5/13/2013 22:00,0,0.5764,23.3,30,,,,
5/13/2013 23:00,0,0.5768,23.2,30,,,,
5/14/2013 0:00,0,0.5769,23.2,30,,,,
5/14/2013 1:00,0,0.5768,23.1,30,,,,
5/14/2013 2:00,0,0.5765,23,30,,,,
5/14/2013 3:00,0,0.5765,22.9,30,,,,
5/14/2013 4:00,0,0.5767,22.8,30,,,,
5/14/2013 5:00,0,0.5769,22.7,30,,,,
5/14/2013 6:00,0,0.5769,22.6,30,,,,
5/14/2013 7:00,0,0.5769,22.5,30,,,,
5/14/2013 8:00,0,0.5768,22.4,30,,,,
5/14/2013 9:00,0,0.5766,22.4,30,,,,
5/14/2013 10:00,0,0.5763,22.3,30,,,,
5/14/2013 11:00,0,0.5761,22.5,30,,,,
5/14/2013 12:00,0,0.5757,22.5,30,,,,
5/14/2013 13:00,0,0.5754,22.7,30,,,,
5/14/2013 14:00,0,0.5751,22.9,30,,,,
5/14/2013 15:00,0,0.5747,23.1,30,,,,
5/14/2013 16:00,0,0.576,23.3,30,,,,
5/14/2013 17:00,0,0.577,23.4,30,,,,
5/14/2013 18:00,0,0.5769,23.5,30,,,,
5/14/2013 19:00,0,0.5767,23.5,30,,,,
5/14/2013 20:00,0,0.5765,23.5,30,,,,
5/14/2013 21:00,0,0.5764,23.5,30,,,,
5/14/2013 22:00,0,0.5764,23.5,30,,,,
5/14/2013 23:00,0,0.5767,23.4,30,,,,
5/15/2013 0:00,0,0.5769,23.4,30,,,,
5/15/2013 1:00,0,0.5768,23.3,30,,,,
5/15/2013 2:00,0,0.5769,23.2,30,,,,
5/15/2013 3:00,0,0.5769,23.2,30,,,,
5/15/2013 4:00,0,0.5769,23,30,,,,
5/15/2013 5:00,0,0.5771,22.9,30,,,,
5/15/2013 6:00,0.2,0.5771,22.9,30,,,,
5/15/2013 7:00,0,0.5771,22.9,30,,,,
5/15/2013 8:00,0,0.5771,22.8,30,,,,
5/15/2013 9:00,0,0.5769,22.8,30,,,,
5/15/2013 10:00,0,0.5768,22.8,30,,,,
5/15/2013 11:00,0,0.5765,22.8,30,,,,
5/15/2013 12:00,0,0.5763,22.9,30,,,,
5/15/2013 13:00,0,0.5759,23,30,,,,
5/15/2013 14:00,0,0.5756,23.2,30,,,,
5/15/2013 15:00,0,0.5753,23.4,30,,,,
5/15/2013 16:00,0,0.5765,23.5,30,,,,
5/15/2013 17:00,0,0.5773,23.6,30,,,,
5/15/2013 18:00,0,0.5774,23.7,30,,,,
5/15/2013 19:00,0,0.5772,23.7,30,,,,
5/15/2013 20:00,0,0.5769,23.7,30,,,,
5/15/2013 21:00,0,0.5769,23.7,30,,,,
5/15/2013 22:00,0,0.5769,23.6,30,,,,
5/15/2013 23:00,0,0.5772,23.6,30,,,,
5/16/2013 0:00,0,0.5774,23.5,30,,,,
5/16/2013 1:00,0,0.5774,23.4,30,,,,
5/16/2013 2:00,0,0.5774,23.4,30,,,,
5/16/2013 3:00,0,0.5774,23.2,30,,,,
5/16/2013 4:00,0,0.5776,23.2,30,,,,
5/16/2013 5:00,0,0.5777,23.2,30,,,,
5/16/2013 6:00,0,0.5778,23.1,30,,,,
5/16/2013 7:00,0,0.5777,23,30,,,,
5/16/2013 8:00,0,0.5777,23,30,,,,
5/16/2013 9:00,0,0.5776,22.9,30,,,,
5/16/2013 10:00,0,0.5773,22.9,30,,,,
5/16/2013 11:00,0,0.5771,22.9,30,,,,
5/16/2013 12:00,0,0.5769,23,30,,,,
5/16/2013 13:00,0,0.5764,23.1,30,,,,
5/16/2013 14:00,0,0.5762,23.2,30,,,,
5/16/2013 15:00,0,0.5763,23.4,30,,,,
5/16/2013 16:00,0,0.5772,23.5,30,,,,
5/16/2013 17:00,0,0.5773,23.5,30,,,,
5/16/2013 18:00,0,0.5772,23.6,30,,,,
